,first150,fname,match
1566,"JULY 6, 2006 -1- FINAL DECISION AND ORDER 06-082 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION GRANBY BOARD OF EDUCATION V. STUDENT APPEARING ON BEHALF",06_082.pdf.txt,GRANBY
400,"JUNE 21, 2006 -1- FINAL DECISION AND ORDER 06-084 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. TRUMBULL BOARD OF EDUCATION APPEARING ON BEH",06_084.pdf.txt,TRUMBULL
778,"DECEMBER 29, 2006 FINAL DECISION AND ORDER 06-086 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION APPEARING ON BEHALF OF THE STUDENT: AARON SCHLESS",06_086.pdf.txt,
1290,"APRIL 19, 2006 -1- FINAL DECISION AND ORDER 06-087 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WOLCOTT BOARD OF EDUCATION APPEARING ON BEH",06_087.pdf.txt,WOLCOTT
1568,"MAY 23, 2006 -1- FINAL DECISION AND ORDER 06-092 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEW HAVEN BOARD OF EDUCATION APPEARING ON BEH",06_092.pdf.txt,NEW HAVEN
2111,"JUNE 14, 2006 -1- FINAL DECISION AND ORDER 06-093 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. ENFIELD BOARD OF EDUCATION APPEARING ON BEHA",06_093.pdf.txt,ENFIELD
201,"AUGUST 25, 2006 FINAL DECISION AND ORDER 06-095 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION APPEARING ON BEHALF OF THE PARENTS: ATTORNEY GLADYS",06_095.pdf.txt,
783,"MAY 18, 2006 -1- FINAL DECISION AND ORDER 06-096 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. GREENWICH BOARD OF EDUCATION APPEARING ON BEH",06_096.pdf.txt,GREENWICH
2744,"JULY 17, 2006 -1- FINAL DECISION AND ORDER 06-099 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. STRATFORD BOARD OF EDUCATION APPEARING ON BE",06_099.pdf.txt,STRATFORD
1028,"MAY 23, 2006 -1- FINAL DECISION AND ORDER 06-103 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. POMFRET BOARD OF EDUCATION APPEARING ON BEHAL",06_103.pdf.txt,POMFRET
2129,"JUNE 21, 2006 -1- FINAL DECISION AND ORDER 06-104 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION PUTNAM BOARD OF EDUCATION V. STUDENT APPEARING ON BEHAL",06_104.pdf.txt,PUTNAM
1648,"SEPTEMBER 12, 2006 -1- FINAL DECISION AND ORDER 06-107 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. BETHEL BOARD OF EDUCATION APPEARING FOR",06_107.pdf.txt,BETHEL
498,"JUNE 5, 2006 -1- FINAL DECISION AND ORDER 06-108 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEW HAVEN BOARD OF EDUCATION APPEARING ON BEH",06_108.pdf.txt,NEW HAVEN
341,"DECEMBER 27, 2006 FINAL DECISION AND ORDER 06-109 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. PRESTON BOARD OF EDUCATION APPEARING O",06_109.pdf.txt,PRESTON
1224,"JUNE 5, 2006 -1- FINAL DECISION AND ORDER 06-112 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. REGIONAL SCHOOL DISTRICT NO.17 APPEARING ON B",06_112.pdf.txt,
2131,"JULY 6, 2006 -1- FINAL DECISION AND ORDER 06-114 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. REGIONAL SCHOOL DISTRICT #13 APPEARING ON BEH",06_114.pdf.txt,
2669,"JULY 12, 2006 -1- FINAL DECISION AND ORDER 06-115 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WILTON BOARD OF EDUCATION APPEARING ON BEHAL",06_115.pdf.txt,WILTON
1804,"JUNE 20, 2006 -1- FINAL DECISION AND ORDER 06-116 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. BRIDGEPORT BOARD OF EDUCATION APPEARING ON B",06_116.pdf.txt,BRIDGEPORT
501,"JUNE 21, 2006 -1- FINAL DECISION AND ORDER 06-118 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. REGIONAL SCHOOL DISTRICT NO. 6 APPEARING ON ",06_118.pdf.txt,REGIONAL SCHOOL DISTRICT NO. 6
339,"AUGUST 11, 2006 -1- FINAL DECISION AND ORDER 06-119 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WILLINGTON BOARD OF EDUCATION APPEARING ON",06_119.pdf.txt,WILLINGTON
2081,"JULY 6, 2006 -1- FINAL DECISION AND ORDER 06-120 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. RIDGEFIELD BOARD OF EDUCATION APPEARING ON BE",06_120.pdf.txt,RIDGEFIELD
1519,"JUNE 27, 2006 -1- FINAL DECISION AND ORDER 06-121 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION REGIONAL SCHOOL DISTRICT #10 V. STUDENT APPEARING ON BE",06_121.pdf.txt,
1242,"JULY 21, 2006 -1- FINAL DECISION AND ORDER 06-124 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. STAMFORD BOARD OF EDUCATION APPEARING ON BEH",06_124.pdf.txt,STAMFORD
251,"SEPTEMBER 12, 2006 - 1 - FINAL DECISION AND ORDER 06-126 DEPARTMENT OF EDUCATION STUDENT V. SUFFIELD BOARD OF EDUCATION APPEARING ON BEHALF OF THE PAR",06_126.pdf.txt,SUFFIELD
448,"JULY 6, 2006 -1- FINAL DECISION AND ORDER 06-127 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. SOUTH WINDSOR BOARD OF EDUCATION APPEARING ON",06_127.pdf.txt,SOUTH WINDSOR
1526,"JUNE 30, 2006 -1- FINAL DECISION AND ORDER 06-131 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. ANSONIA BOARD OF EDUCATION APPEARING ON BEHA",06_131.pdf.txt,ANSONIA
2455,"AUGUST 8, 2006 -1- FINAL DECISION AND ORDER 06-132 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WILTON BOARD OF EDUCATION APPEARING ON BEHA",06_132.pdf.txt,WILTON
1236,"JANUARY 4, 2007 FINAL DECISION AND ORDER 06-134 - 1 -STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. FAIRFIELD BOARD OF EDUCATION APPEARING ON",06_134.pdf.txt,FAIRFIELD
741,"OCTOBER 31, 2006 FINAL DECISION AND ORDER 06-135 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. DARIEN BOARD OF EDUCATION APPEARING ON ",06_135.pdf.txt,DARIEN
444,"JULY 6, 2006 -1- FINAL DECISION AND ORDER 06-137 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION NORWALK BOARD OF EDUCATION V. STUDENT APPEARING ON BEHAL",06_137.pdf.txt,NORWALK
2398,"JULY 6, 2006 -1- FINAL DECISION AND ORDER 06-140 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. DARIEN BOARD OF EDUCATION APPEARING ON BEHALF",06_140.pdf.txt,DARIEN
2087,"JUNE 20, 2006 -1- FINAL DECISION AND ORDER 06-142 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. REGIONAL SCHOOL DISTRICT NO. 17 APPEARING ON",06_142.pdf.txt,REGIONAL SCHOOL DISTRICT NO. 17
208,"JULY 21, 2006 -1- FINAL DECISION AND ORDER 06-144 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. ANDOVER BOARD OF EDUCATION APPEARING ON BEHA",06_144.pdf.txt,ANDOVER
1330,"JULY 5, 2006 -1- FINAL DECISION AND ORDER 06-146 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. GLASTONBURY BOARD OF EDUCATION APPEARING ON B",06_146.pdf.txt,GLASTONBURY
769,"SEPTEMBER 21, 2006 -1- FINAL DECISION AND ORDER 06-147 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WINDSOR BOARD OF EDUCATION APPEARING ON",06_147.pdf.txt,WINDSOR
2778,"SEPTEMBER 21, 2006 - 1 - FINAL DECISION AND ORDER 06-148 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. BOARD OF EDUCATION APPEARING ON BEHAL",06_148.pdf.txt,
2402,"AUGUST 24, 2006 -1- FINAL DECISION AND ORDER 06-150 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. EAST HARTFORD BOARD OF EDUCATION APPEARING",06_150.pdf.txt,EAST HARTFORD
2588,"JULY 13, 2006 -1- FINAL DECISION AND ORDER 06-151 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEWTOWN BOARD OF EDUCATION APPEARING ON BEHA",06_151.pdf.txt,NEWTOWN
2782,"SEPTEMBER 14, 2006 -1- FINAL DECISION AND ORDER 06-158 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. GREENWICH BOARD OF EDUCATION APPEARING ",06_158.pdf.txt,GREENWICH
2266,"AUGUST 22, 2006 -1- FINAL DECISION AND ORDER 06-159 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WATERBURY BOARD OF EDUCATION APPEARING ON ",06_159.pdf.txt,WATERBURY
701,"JUNE 28, 2006 -1- FINAL DECISION AND ORDER 06-163 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NORTH HAVEN BOARD OF EDUCATION APPEARING ON ",06_163.pdf.txt,NORTH HAVEN
1790,"AUGUST 22, 2006 -1- FINAL DECISION AND ORDER 06-164 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. ORANGE BOARD OF EDUCATION APPEARING ON BEH",06_164.pdf.txt,ORANGE
1385,"AUGUST 8, 2006 -1- FINAL DECISION AND ORDER 06-169 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION NEWTOWN BOARD OF EDUCATION V. STUDENT APPEARING ON BEH",06_169.pdf.txt,NEWTOWN
1154,"MAY 11, 2007 FINAL DECISION AND ORDER 06-170 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. FAIRFIELD BOARD OF EDUCATION APPEARING ON B",06_170.pdf.txt,FAIRFIELD
698,"OCTOBER 27, 2006 FINAL DECISION AND ORDER 06-173 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. BOARD OF EDUCATION APPEARING ON BEHALF ",06_173.pdf.txt,
1608,"AUGUST 2, 2006 -1- FINAL DECISION AND ORDER 06-175 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. ENFIELD BOARD OF EDUCATION APPEARING ON BEH",06_175.pdf.txt,ENFIELD
2194,"NOVEMBER 14, 2006 FINAL DECISION AND ORDER 06-176 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. MIDDLETOWN BOARD OF EDUCATION APPEARIN",06_176.pdf.txt,MIDDLETOWN
864,"JULY 13, 2006 -1- FINAL DECISION AND ORDER 06-178 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION NORWALK BOARD OF EDUCATION V. STUDENT APPEARING ON BEHA",06_178.pdf.txt,NORWALK
1394,"OCTOBER 17, 2006 FINAL DECISION AND ORDER 06-179 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. HARTFORD BOARD OF EDUCATION APPEARING O",06_179.pdf.txt,HARTFORD
2217,"NOVEMBER 30, 2006 FINAL DECISION AND ORDER 06-182 - 1 -STATE OF CONNECTICUT DEPARTMENT OF EDUCATION APPEARING ON BEHALF OF THE PARENTS/ST UDENT: ATTOR",06_182.pdf.txt,
2738,"SEPTEMBER 11, 2006 -1- FINAL DECISION AND ORDER 06-183 DEPARTMENT OF EDUCATION WESTPORT BOARD OF EDUCATION V. STUDENT APPEARING ON BEHALF OF THE PAREN",06_183.pdf.txt,WESTPORT
1143,"AUGUST 2, 2006 -1- FINAL DECISION AND ORDER 06-184 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WESTPORT BOARD OF EDUCATION APPEARING ON BE",06_184.pdf.txt,WESTPORT
37,"SEPTEMBER 14, 2006 -1- FINAL DECISION AND ORDER 06-186 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. REGIONAL SCH OOL DISTRICT NO. 17 APPEAR",06_186.pdf.txt,REGIONAL SCH OOL DISTRICT NO. 17
39,"SEPTEMBER 7, 2006 -1- FINAL DECISION AND ORDER 06-196 DEPARTMENT OF EDUCATION STUDENT V. MONROE BOARD OF EDUCATION APPEARING ON BEHALF OF THE PARENTS:",06_196.pdf.txt,MONROE
541,"NOVEMBER 1, 2006 -1- FINAL DECISION AND ORDER 06-197 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION CASE #: 06-197 DATE OF DECISION: OCTOBER 31, 2006 ST",06_197.pdf.txt,WESTPORT
2693,"MARCH 2, 2007 FINAL DECISION AND ORDER 06-201 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. ORANGE BOARD OF EDUCATION APPEARING ON BEH",06_201.pdf.txt,ORANGE
2490,"OCTOBER 16, 2006 - 1 - FINAL DECISION AND ORDER 06-208 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION ORANGE BOARD OF EDUCATION V. STUDENT APPEARING FOR",06_208.pdf.txt,ORANGE
2335,"AUGUST 8, 2006 -1- FINAL DECISION AND ORDER 06-209 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION PORTLAND BOARD OF EDUCATION V. STUDENT APPEARING ON BE",06_209.pdf.txt,PORTLAND
154,"SEPTEMBER 27, 2006 FINAL DECISION AND ORDER 06-214 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. GRISWOLD BOARD OF EDUCATION ON BEHALF",06_214.pdf.txt,GRISWOLD
1005,"OCTOBER 2, 2006 -1- FINAL DECISION AND ORDER 06-217 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEW HAVEN BOARD OF EDUCATION APPEARING ON ",06_217.pdf.txt,NEW HAVEN
2492,"SEPTEMBER 13, 2006 -1- FINAL DECISION AND ORDER 06-218 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. MILFORD BOARD OF EDUCATION APPEARING ON",06_218.pdf.txt,MILFORD
755,"OCTOBER 16, 2006 -1 FINAL DECISION AND ORDER 06-221 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. FAIRFIELD BOARD OF EDUCATION APPEARING ON ",06_221.pdf.txt,FAIRFIELD
2586,"SEPTEMBER 21, 2006 -1- FINAL DECISION AND ORDER 06-227 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. TRUMBULL BOARD OF EDUCATION APPEARING O",06_227.pdf.txt,TRUMBULL
896,"NOVEMBER 22, 2006 FINAL DECISION AND ORDER 06-228 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. FAIRFIELD BOARD OF EDUCATION APPEARING",06_228.pdf.txt,FAIRFIELD
1083,"SEPTEMBER 12, 2006 -1- FINAL DECISION AND ORDER # 06-229 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. RIDGEFIELD BOARD OF EDUCATION APPEARI",06_229.pdf.txt,RIDGEFIELD
765,"OCTOBER 24, 2006 -1- FINAL DECISION AND ORDER 06-231 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. SEYMOUR BOARD OF EDUCATION APPEARING ON B",06_231.pdf.txt,SEYMOUR
370,"OCTOBER 19, 2006 FINAL DECISION AND ORDER 06-233 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. FAIRFIELD BOARD OF EDUCATION APPEARING ",06_233.pdf.txt,FAIRFIELD
2388,"SEPTEMBER 14, 2006 - 1 - FINAL DECISION AND ORDER 06-236 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. RIDGEFIELD BOARD OF EDUCATION APPEARI",06_236.pdf.txt,RIDGEFIELD
1087,"OCTOBER 31, 2006 FINAL DECISION AND ORDER 06-239 - 1 -STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. SIMSBURY BOARD OF EDUCATION APPEARING ON",06_239.pdf.txt,SIMSBURY
1257,"SEPTEMBER 14, 2006 -1- FINAL DECISION AND ORDER 06-242 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WESTON BOARD OF EDUCATION APPEARING ON ",06_242.pdf.txt,WESTON
2464,"DECEMBER 19, 2006 FINAL DECISION AND ORDER 06-244 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. REGIONAL SCH OOL DISTRICT NO. 9 APPEAR",06_244.pdf.txt,REGIONAL SCHOOL DISTRICT NO. 9
570," MAY 17, 2007 - 1 -FINAL DECISION AND ORDER 06-248 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. [ ] BOARD OF EDUCATIONTPF 1 FPTAPPEARING ON",06_248.pdf.txt,
232,"OCTOBER 24, 2006 -1- FINAL DECISION AND ORDER 06-250 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. DARIEN BOARD OF EDUCATION APPEARING ON BE",06_250.pdf.txt,DARIEN
438," NOVEMBER 6, 2006 -1- FINAL DECISION AND ORDER 06-251 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WINDSOR LOCKS AND SUFFIELD BOARDS OF EDU",06_251.pdf.txt,WINDSOR LOCKS AND SUFFIELD
2466,"APRIL 3, 2007 FINAL DECISION AND ORDER 06-254 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEW BRITAIN BOARD OF EDUCATION APPEARING O",06_254.pdf.txt,NEW BRITAIN
574,"FEBRUARY 14, 2007 FINAL DECISION AND ORDER 06-258 - 1 -STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NORWALK BOARD OF EDUCATION APPEARING ON",06_258.pdf.txt,NORWALK
1," SEPTEMBER 27, 2006 -1- FINAL DECISION AND ORDER 06-259 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WATERBURY BOARD OF EDUCATION APPEARING",06_259.pdf.txt,WATERBURY
1665,"NOVEMBER 6, 2006 FINAL DECISION AND ORDER 06-261 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WOODBRIDGE BOARD OF EDUCATION APPEARING",06_261.pdf.txt,WOODBRIDGE
2126,"DECEMBER 18, 2006 FINAL DECISION AND ORDER 06-262 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. BOARD OF EDUCATION APPEARING ON BEHALF",06_262.pdf.txt,
2656,"SEPTEMBER 14, 2006 -1- FINAL DECISION AND ORDER 06-263 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. TRUMBULL BOARD OF EDUCATION APPEARING O",06_263.pdf.txt,TRUMBULL
1222,"NOVEMBER 22, 2006 FINAL ORDER AND DECISION 06-264 - 1 - DEPARTMENT OF EDUCATION STUDENT V. TRUMBULL BOARD OF EDUCATION APPEARING ON BEHALF OF THE PARE",06_264.pdf.txt,TRUMBULL
1008,"SEPTEMBER 13, 2006 -1- FINAL DECISION AND ORDER 06-265 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. MILFORD BOARD OF EDUCATION APPEARING ON",06_265.pdf.txt,MILFORD
134,"NOVEMBER 9, 2006 -1- FINAL DECISION AND ORDER 06-266 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEWTOWN BOARD OF EDUCATION APPEARING ON B",06_266.pdf.txt,NEWTOWN
2654,"OCTOBER 4, 2006 1 FINAL DECISION AND ORDER 06-273 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. FAIRFIELD BOARD OF EDUCATION APPEARING ON BE",06_273.pdf.txt,FAIRFIELD
1012,"OCTOBER 30, 2006 FINAL DECISION AND ORDER 06-275 1 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. BOARD OF EDUCATION APPEARING ON BEHALF OF T",06_275.pdf.txt,
136," OCTOBER 4, 2006 -1- FINAL DECISION AND ORDER 06-276 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. STAMFORD BOARD OF EDUCATION APPEARING ON ",06_276.pdf.txt,STAMFORD
59,"JANUARY 2, 2007 FINAL DECISION AND ORDER 06-282 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. REGIONAL SCH OOL DISTRICT NO. 14 APPEARI",06_282.pdf.txt,REGIONAL SCHOOL DISTRICT NO. 14
606,"DECEMBER 12, 2006 FINAL DECISION AND ORDER 06-283 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. BOARD OF EDUCATION APPEARING ON BEHALF",06_283.pdf.txt,
1672,"DECEMBER 20, 2006 FINAL DECISION AND ORDER 06-285 - 1 -STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. RIDGEFIELD BOARD OF EDUCATION APPEARING",06_285.pdf.txt,RIDGEFIELD
807,"NOVEMBER 6, 2006 FINAL DECISION AND ORDER 06-288 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. ANSONIA BOARD OF EDUCATION APPEARING ON",06_288.pdf.txt,ANSONIA
2759,"APRIL 10, 2007 FINAL DECISION AND ORDER 06-297 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. HARTLAND BOARD OF EDUCATION APPEARING ON ",06_297.pdf.txt,HARTLAND
805,"NOVEMBER 14, 2006 FINAL DECISION AND ORDER 06-298 - 1 -STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. REDDING BOARD OF EDUCATION APPEARING ON",06_298.pdf.txt,REDDING
1296,"DECEMBER 13, 2006 FINAL DECISION AND ORDER 06-299 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. GREENWICH BOARD OF EDUCATION APPEARING",06_299.pdf.txt,GREENWICH
810,"MAY 24, 2007 FINAL DECISION AND ORDER 06-304 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. FAIRFIELD BOARD OF EDUCATION APPEARING ON B",06_304.pdf.txt,FAIRFIELD
1366,"DECEMBER 11, 2006 -1- FINAL DECISION AND ORDER 06-305 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. REGIONAL DISTRICT NO. 17 APPEARING FOR T",06_305.pdf.txt,
518,"NOVEMBER 3, 2006 -1- FINAL DECISION AND ORDER 06-306 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. RIDGEFIELD BOARD OF EDUCATION APPEARING O",06_306.pdf.txt,RIDGEFIELD
346,"JANUARY 9, 2007 FINAL DECISION AND ORDER 06-307 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION ELLINGTON BOARD OF EDUCATION V. STUDENT ON BEHALF O",06_307.pdf.txt,ELLINGTON
1807,"JANUARY 24, 2007 FINAL DECISION AND ORDER 06-308 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. RIDGEFIELD BOARD OF EDUCATION APPEARING",06_308.pdf.txt,RIDGEFIELD
1669,"DECEMBER 4, 2006 FINAL DECISION AND ORDER 06-309 - 1 -STUDENT V. GREENWICH BOARD OF EDUCATION APPEARING ON BEHALF OF THE STUDENT: ATTORNEY MEREDITH C.",06_309.pdf.txt,GREENWICH
1949,"JANUARY 11, 2007 FINAL DECISION AND ORDER 06-311 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. ANSONIA BOARD OF EDUCATION APPEARING ON",06_311.pdf.txt,ANSONIA
2352,"JUNE 12, 2007 FINAL DECISION AND ORDER 06-313 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM A",06_313.pdf.txt,
811,"DECEMBER 13, 2006 FINAL DECISION AND ORDER 06-314 - 1 -STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. STAFFORD BOARD OF EDUCATION APPEARING O",06_314.pdf.txt,STAFFORD
348,"FEBRUARY 14, 2007 FINAL DECISION AND ORDER 06-317 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. STAFFORD BOARD OF EDUCATION APPEARING ",06_317.pdf.txt,STAFFORD
1914,"APRIL 13, 2007 FINAL DECISION AND ORDER 06-327 - 1 -STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. ORANGE BOARD OF EDUCATION APPEARING ON BEH",06_327.pdf.txt,ORANGE
437,"JANUARY 22, 2007 FINAL DECISION AND ORDER 06-329 - 1 -STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENTS V. REGION 15 BOARD OF EDUCATION APPEARING ",06_329.pdf.txt,REGION 15
569,"JANUARY 24, 2007 FINAL DECISION AND ORDER 06-330 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEWTOWN BOARD OF EDUCATION APPEARING ON",06_330.pdf.txt,NEWTOWN
968,"DECEMBER 11, 2006 FINAL DECISION AND ORDER 06-332 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION CASE #: 06-332 DATE OF DECISION: DECEMBER 8, 2006",06_332.pdf.txt,
1123,"FEBRUARY 2, 2007 FINAL DECISION AND ORDER 06-333 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NORWALK BOARD OF EDUCATION APPEARING ON",06_333.pdf.txt,NORWALK
2720,"FEBRUARY 13, 2007 FINAL DECISION AND ORDER 06-334 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. BOARD OF EDUCATION APPEARING ON BEHALF",06_334.pdf.txt,
1908,"JUNE 11, 2007 FINAL DECISION AND ORDER 06-337 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NORTH BRANFORD BOARD OF EDUCATION APPEARIN",06_337.pdf.txt,NORTH BRANFORD
229,"APRIL 19, 2007 FINAL DECISION AND ORDER 06-338 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NORWALK BOARD OF EDUCATION APPEARING ON B",06_338.pdf.txt,NORWALK
892,"JANUARY 22, 2007 FINAL DECISION AND ORDER 06-340 - 1 -STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. HARTFORD BOARD OF EDUCATION APPEARING ON",06_340.pdf.txt,HARTFORD
1088,"FEBRUARY 2, 2007 -1- FINAL DECISION AND ORDER 06-341 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION ANSONIA BOARD OF EDUCATION V. STUDENT APPEARING ON B",06_341.pdf.txt,ANSONIA
93,"APRIL 16, 2007 FINAL DECISION AND ORDER 06-343 - 1 -STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. BOARD OF EDUCATION APPEARING ON BEHALF OF ",06_343.pdf.txt,
1709,"FEBRUARY 28, 2007 FINAL DECISION AND ORDER 06-344 - 1 - STATE OF CONNECTICUT DEPARTMENT OF EDUCATION APPEARING ON BEHALF OF THE PARENTS: MARILYN COHEN",06_344.pdf.txt,
